題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說
L13Q26,S,在大型語言模型（LLM）的應用中，相較於直接進行模型微調（Fine-tuning），**檢索增強生成（Retrieval-Augmented Generation  RAG）**架構的主要優勢是什麼？,更高的模型推論速度,能有效處理**事實性幻覺（Factual Hallucination）**問題，並引用最新的外部知識,更低的運算資源需求,能讓模型具備更強大的跨語言翻譯能力,2,RAG 透過檢索外部知識庫，能提供 LLM 事實依據，從而減少模型根據自身「記憶」產生事實性錯誤（幻覺），並能使用訓練截止日期之後的最新資訊。,
L13Q27,S,為了建立一個高品質的 AI 專案，企業應優先採取哪一項行動來**確保資料的可用性、可存取性與品質一致性**？,投資購買更多伺服器,建立全面性的資料治理（Data Governance）策略,將所有資料交給單一資料科學家處理,忽略資料清理步驟直接進行模型訓練,2,資料治理建立了資料的權責、品質標準、存取與安全等規範，是確保資料成為 AI 資產的基礎。,
L13Q28,S,一家企業在推動 AI 導入時，發現員工普遍對 AI 感到恐慌，擔心工作會被取代而產生阻力。下列哪一項作法最能有效緩解這種**組織文化與恐懼**的阻力？,直接解雇有阻力的員工以示決心,隱藏 AI 專案的進度與目標,開放員工參與 AI 應用規劃與培訓，強調 AI 是輔助工具,完全交由外部顧問公司處理所有 AI 事務,3,讓員工參與可建立信任，減輕恐慌並鼓勵合作。,
L13Q29,S,某企業評估 AI 導入後發現合規性風險不明，且業務流程複雜無法快速配合變更，下一步建議為？,暫緩導入並建立 AI 治理框架與流程重構計畫,直接部署以搶得先機,完全仰賴外包協力廠商處理,降低模型準確率以保守應對,1,當風險與流程無法支撐 AI 部署時，應先建立制度與重構架構再行推進，確保永續性。,
L13Q30,S,某企業欲導入 AI 於客訴分析，但高層要求三個月內必須全面上線、且須同時降低 20% 人力成本。AI 團隊認為目標過於激進，最應採取哪一項規劃策略？,立即委外開發快速上線,說服高層分階段導入並先設置 POC 試點驗證,將預算集中於資料清理與標註,將人力轉為訓練 AI 模型的資料工程師,2,AI 導入需謹慎評估可行性與風險。面對不切實際的目標，POC 可降低導入風險並釐清成效。,
L13Q31,S,企業導入 AI 進行產線缺陷檢測，模型初期效果良好，三個月後卻大幅下降。最可能的根本原因為？,模型資料量不足,工人干擾機器設備,資料分布出現變異（Data Drift）未更新模型,檢測樣本過少導致過度擬合,3,AI 模型需持續監控，因生產條件改變會造成資料分布改變，須建立 Data Drift 檢測與模型回訓機制。,
L13Q32,S,某企業進行 AI 導入規劃時發現資料跨部門分散且缺乏標準欄位命名。若要提升後續 AI 開發效率，應優先採取何種方式？,建立特徵商店（Feature Store）與統一的資料結構標準,聘請大量臨時資料標註員,直接將所有資料合併為單一大表格,要求各部門自行解決資料問題,1,特徵商店能標準化特徵的命名、定義與儲存，解決資料分散與不一致的問題，加速模型開發。,
L13Q33,S,某公司利用 LLM 開發客服機器人，發現機器人有時會產生「瞎編」的內容。若希望在不重新訓練模型的情況下，大幅提升答案的準確度與可信度，應採取哪一項技術架構？,採用提示工程（Prompt Engineering）中的 Few-Shot Learning,使用檢索增強生成（RAG）架構,使用更小的 LLM 模型,將模型部署到邊緣設備（Edge Device）,2,RAG 能透過外部資料庫提供事實依據，有效減少 LLM 幻覺（Hallucination）問題，提升輸出的準確度。,
L13Q34,S,在機器學習專案中，**特徵工程（Feature Engineering）**的核心目標是什麼？,加速模型訓練速度,減少模型需要的運算資源,將原始資料轉換成能讓模型有效學習的輸入特徵,確保模型部署時的 API 延遲足夠低,3,特徵工程是將原始、複雜的資料轉換成模型可理解且具備預測力的數值特徵，以提升模型效能。,
L13Q35,S,企業在評估是否導入 AI 時，若發現「所需的資料量極為龐大且難以取得或標註」，這最可能影響到 AI 專案的哪一項核心要素？,演算法的可行性,模型的推論速度,專案的商業價值與 ROI,資料的可行性與成本,4,如果資料成本過高或根本無法取得，即使演算法再好，AI 專案也無法執行，直接影響專案的成功率與 ROI。,
L13Q36,S,在 MLOps 流程中，**模型監控（Model Monitoring）**最主要解決下列哪一項問題？,確保模型訓練過程中使用正確的數據,自動化模型部署到生產環境,即時偵測模型在生產環境中的效能衰退與數據漂移,管理不同模型版本的程式碼,3,模型監控的職責是在模型上線後，持續追蹤其表現、數據輸入分佈，並在出現問題時發出警報。,
L13Q37,S,相較於傳統的軟體開發，AI/ML 專案在**版本控制**上額外需要管理與追蹤哪些重要資產？,UI/UX 介面設計稿,測試環境的硬體規格,訓練數據集與模型權重,高層主管的會議記錄,3,AI 專案的產出不僅是程式碼，模型權重（Model Artifacts）與訓練數據集（Dataset）的版本也必須被追蹤，確保實驗的可重現性。,
L13Q38,S,某企業希望利用 AI 模型來進行**產品客製化推薦**，下列哪一項技術最能有效捕捉用戶行為的序列性與時間依賴性？,簡單的線性回歸模型,基於協同過濾（Collaborative Filtering）的模型,循環神經網路（RNN）或 Transformer 類序列模型,基於規則的專家系統,3,RNN 和 Transformer 等序列模型專門處理具有時間先後順序的數據，最適合捕捉用戶點擊、購買等行為的序列模式。,
L13Q39,S,在 AI 倫理考量中，**模型可解釋性（Model Explainability  XAI）**的主要價值是什麼？,提升模型的計算效率,讓模型輸出看起來更複雜,協助決策者理解模型做出預測的理由，提升信任度與可審計性,減少模型訓練時間,3,XAI 讓「黑箱」模型變得透明，尤其在金融、醫療等高風險領域，理解模型決策依據是信任、合規與除錯的關鍵。,
L13Q40,S,企業應將 AI 轉型視為一個**持續性**的過程，而不是一次性的專案。這主要是因為 AI 系統的哪一項特性？,訓練成本過高,需要不斷獲取新的硬體,模型效能會隨著時間和數據分佈的改變而衰退（需要持續迭代）,市場競爭壓力大,3,現實世界的數據是動態變化的，導致模型效能會隨時間衰退，因此 AI 系統需要持續監控、維護和回訓（迭代）。,
L13Q41,S,在機器學習專案中，**偏差（Bias）**與**變異（Variance）**的權衡（Trade-off）主要關注哪一項議題？,模型訓練的成本與時間,模型訓練資料集的規模,模型在訓練集上的表現與在測試集上的泛化能力,模型部署時的硬體規格,3,Bias-Variance Trade-off 關注的是模型學習的不足（高 Bias/欠擬合）和對訓練資料過度擬合（高 Variance/過度擬合）之間的平衡，目標是提升泛化能力。,
L13Q42,S,企業導入 LLM 應用於內部文件檢索時，最核心的技術是將文件內容轉換成**向量（Vector）**。這項技術的名稱是什麼？,量化（Quantization）,區塊鏈（Blockchain）,嵌入（Embedding）/向量化（Vectorization）,壓縮（Compression）,3,透過嵌入技術，可以將文字或圖像轉換成高維度的數值向量，以便進行相似度計算和檢索，是 RAG 和向量資料庫的基礎。,
L13Q43,S,若企業希望在不洩露原始訓練資料的前提下，讓多個不同部門或機構**協同訓練**一個 AI 模型，應採用哪一種技術？,生成對抗網路（GAN）,邊緣運算（Edge Computing）,聯邦學習（Federated Learning）,強化學習（Reinforcement Learning）,3,聯邦學習允許模型在多個分散的資料集上進行訓練，但資料本身不離開本地端，能有效保護資料隱私。,
L13Q44,S,在 MLOps 實踐中，**特徵商店（Feature Store）**的主要價值是什麼？,自動產生模型報告,統一管理與共享線上推論和離線訓練時使用的特徵,負責資料備份與還原,提供模型訓練的硬體加速,2,特徵商店確保了訓練與推論資料的一致性，避免訓練/服務偏差（Training-Serving Skew），並提升特徵的重用性。,
L13Q45,S,在 AI 專案中，**可解釋性（Explainability）**的需求在下列哪一個領域中最為關鍵，常被視為法規強制要求？,電子商務的產品推薦,金融業的信用評分與貸款決策,遊戲業的玩家行為分析,廣告投放的點擊率預測,2,金融與醫療等高風險領域，因決策結果會對個體產生重大影響，故常有法規要求必須能解釋模型做出決策的理由（如拒絕貸款的原因）。,
L13Q46,S,某公司欲利用 AI 預測股票價格，但發現過去的股價數據僅反映了歷史規律，無法預測突發的政治事件。這反應了 AI 模型在本質上有哪一項限制？,無法進行數學運算,只能在單一領域運作,只能根據**歷史數據**學習模式，難以預測**未見的系統性外部衝擊**,訓練速度過慢,3,AI 模型的基礎是從歷史資料中找出規律，對於資料中不存在的、系統性的外部衝擊或黑天鵝事件，模型難以有效預測。,
L13Q47,S,企業在導入 LLM 應用時，發現模型輸出的內容缺乏新意、重複性高，最可能的原因是下列哪一項**模型參數設定**不當？,Batch Size 設置太小,Learning Rate 設置太高,Temperature（溫度）設置太低,Epochs 數量太多,3,在 LLM 輸出時，較低的 Temperature 會使模型傾向選擇機率最高的詞彙，導致重複且缺乏創意的輸出；提高 Temperature 可以增加輸出的隨機性與多樣性。,
L13Q48,S,企業在進行 AI 轉型時，最應優先建立哪一項**組織能力**，以確保能將 AI 成果從實驗室成功擴展到整個組織？,聘請市場行銷專家,建立強大的 MLOps 流程與基礎建設,專注於單一 AI 模型的開發,將所有資料儲存在本地端電腦,2,MLOps 將模型訓練、部署、監控等流程標準化與自動化，是將 AI 從 PoC 擴展到大規模生產的關鍵基石。,
L13Q49,S,在設計一個對話式 AI 介面時，下列哪一項**人性化設計原則**最能提升用戶的信任感與體驗？,使用過於專業的術語,讓 AI 始終保持中立不帶情感的語氣,明確告知用戶對話的對象是 AI，並設定適當的錯誤處理機制,避免任何錯誤訊息的顯示,3,透明度（Transparency）是建立信任的基礎，讓用戶知道他們在與 AI 互動，並在 AI 出錯時給予清晰的引導，能提供更佳的用戶體驗。,
L13Q50,S,某企業在內部推行 AI 專案時，若發現**資料孤島（Data Silos）**問題嚴重，資料權責不清，最有效的解決方案是什麼？,購買新的硬體設備,建立集中式的資料湖（Data Lake）或資料倉儲（Data Warehouse），並搭配資料治理策略,聘請更多的模型訓練專家,限制員工使用 AI 工具的權限,2,資料湖/倉儲解決了資料分散問題，而資料治理策略則釐清了資料的權責與使用規範，是從根本上解決資料孤島的方案。,
L13Q51,S,以下哪一項不屬於AI導入規劃流程中的必要決策？,目標定義與應用場景評估,資源盤點與技術可行性評估,模型參數最佳化策略選擇,成本效益與風險評估,3,模型參數優化屬於模型開發階段，非規劃階段的核心決策重點。,
L13Q52,S,某醫療機構使用 AI 系統協助診斷，但並未對病患告知系統參與其病歷分析。此舉最可能違反下列哪一項規範或原則？,AI 模型可擴展性原則,GDPR 中的知情同意原則,AI Act 中的技術標準條款,資料最小化原則,2,病患未被告知 AI 系統參與診斷，即違反 GDPR 對於「資料處理須取得使用者明確同意」的規範，也違反資訊處理透明性原則。,
L13Q53,S,某企業遭駭客攻擊，AI 模型中訓練資料外洩。若這些資料為個人健康資訊，根據資料安全管理原則，下列何者是最佳補救行動？,停止系統運作並刪除模型,發布聲明表示企業無責,通報主管機關並啟動應變流程,將模型轉移至雲端以降低風險,3,個資洩漏事件須依 GDPR 或個資法啟動通報程序，並記錄風險事件處理流程，是合規的核心行動之一。,
L13Q54,S,AI 模型輸入極微小變化後即產生錯誤判斷，這類攻擊屬於下列哪種資安風險？,模型偏見攻擊（Bias Injection）,過擬合攻擊（Overfitting Trap）,對抗性攻擊（Adversarial Attack）,模型延遲攻擊（Latency Exploit）,3,這是對抗性樣本攻擊的典型案例，攻擊者透過微小干擾影響模型判斷，特別常見於圖像與語音識別系統。,
L13Q55,S,某企業部署 AI 模型處理金融交易，開發團隊未設定存取權限控管機制，此缺失將導致哪類風險最為明顯？,模型精度風險,人工智慧倫理風險,資料存取與機密性風險,可解釋性不足風險,3,未設存取權限控管，資料有被未授權人員擷取之風險，導致機密性與合規性問題，甚至觸法。,
L13Q56,S,以下哪項屬於資料最小揭露原則的正確實踐？,為增加模型精度，盡可能蒐集使用者所有資料,保留資料全名以方便比對身份,使用年齡區間取代完整出生年月日,將模型訓練結果儲存為純文字格式,3,資料最小揭露原則強調只使用完成任務所需之資料，年齡區間即為有效去識別化做法。,
L13Q57,S,某國際公司使用 AI 模型進行跨國用戶數據處理，需同時考量哪一項最關鍵的合規風險？,模型部署速度,本地硬體規格,多國資料法規差異,客戶回應時間延遲,3,跨國使用 AI 系統時，須遵守多地資料法規（如 GDPR、CCPA、台灣個資法），否則將面臨跨國合規風險。,
L13Q58,S,IBM 推出的 AI FactSheets 工具主要用於解決下列哪項問題？,模型加速訓練效率,強化模型解釋能力,建立模型透明化與合規審核紀錄,模型壓縮與自動部署,3,FactSheets 是用來記錄模型開發來源、風險、使用方式與合規資訊的工具，有助於日後審核與問責。,
L13Q59,S,某深度學習模型持續使用過時資料訓練，導致輸出結果不符合現況。此現象會產生什麼樣的潛在風險？,系統延遲,過擬合風險,模型腐敗（Model Drift）與判斷偏差,運算資源溢出,3,資料與現實偏離會造成模型腐敗（drift），導致模型判斷錯誤、風險累積。,
L13Q60,S,在 AI 系統中落實資料最小揭露原則的主要目的是什麼？,降低系統儲存空間,增加資料預測變異性,降低隱私風險並符合法規要求,增強演算法訓練結果差異,3,只蒐集與任務直接相關的資料可避免過度揭露個資，是提升安全與符合法規的關鍵做法。,
L13Q61,S,某 AI 模型被部署在醫療判斷系統中，若缺乏可解釋性與審查機制，最可能帶來哪類風險？,模型壓縮效能下降,系統維修成本上升,無法追溯判斷錯誤責任與風險擴大,訓練時間過長,3,若模型無可解釋性，則無法追蹤錯誤來源，出錯無法追責，風險難以控管，特別在高敏感應用（如醫療）中極具危險。,
L13Q62,S,你正處理一組數據，包含 1000 筆交易紀錄，但其中顧客 ID 欄位出現大量「NaN」，請問最佳處理方式為？,用 0 填補缺值,全部刪除整筆資料,分析是否為關鍵特徵，視情況刪欄或填補,將所有 NaN 改為「未知」字串,3,高階資料清洗需評估該欄位對模型的重要性，若非關鍵欄位且缺失嚴重可刪欄；否則應選擇適合的填補方式。,
L13Q63,S,你發現訓練資料的性別欄位出現「Male」、「男」、「M」，哪種處理方式最合適？,全部轉為英文,全部刪除,先統一格式再進行 Label Encoding,進行標準化,3,統一語義後進行數值化是處理類別變數的標準流程，避免模型誤解相同類別的不同表達方式。,
L13Q64,S,若資料集為高度稀疏矩陣（如 TF-IDF），進行正規化時應選擇哪種方法？,Z-score,Min-Max Scaling,MaxAbsScaler,One-hot Encoding,3,"MaxAbsScaler 專門用於稀疏資料，可保留稀疏性並將數值縮放至 [-1, 1] 區間。",
L13Q65,S,一位資料科學家對類別變數使用 One-hot Encoding，卻導致模型訓練速度大幅下降，最可能的原因為？,編碼方式錯誤,類別變數過少,維度爆炸造成訓練負擔,沒有標準化資料,3,One-hot Encoding 在高基數欄位（如城市、國家）會造成特徵維度激增，進而拖慢訓練效能。,
L13Q66,S,你打算使用 PCA 對資料進行降維，哪種情況最不適合使用 PCA？,資料維度高但樣本數少,特徵彼此高度相關,特徵呈常態分布,類別變數為主要資訊來源,4,PCA 基於數值特徵的線性變換，無法處理純類別資料，應避免在類別變數主導的情況下使用。,
L13Q67,S,你要建構一個模型以預測高收入族群，資料中有嚴重類別不平衡問題，應該採取何種策略？,One-hot Encoding,欄位標準化,過採樣或欠採樣,PCA 降維,3,類別不平衡會導致模型偏向多數類別，應透過 SMOTE 等方式平衡樣本分布。,
L13Q68,S,你將標準化後的資料用於 SVM 模型，但準確率仍偏低，最有可能的原因為？,模型不適合分類任務,未使用類別變數,資料尚未做特徵工程,沒有標準化資料,3,即使標準化完成，若資料中無意義特徵或缺乏重要特徵仍會導致模型無法正確學習。,
L13Q69,S,你使用 Isolation Forest 發現一些異常資料點，下一步最合理的處理方式為？,將異常點全部刪除,進行標準化,分析異常點再決定保留與否,進行 One-hot Encoding,3,異常點不一定是錯誤資料，可能是關鍵樣本。應評估其業務意義後決定是否保留或處理。,
L13Q70,S,某資料集包含許多連續變數，但你發現其分布呈右偏（skewed），應採取什麼處理方法？,Z-score 標準化,進行對數轉換（Log Transformation）,使用 Label Encoding,直接進行模型訓練,2,對數轉換可修正偏態分布，使資料更接近常態，有利於許多模型表現。,
L13Q71,S,你需要在高維特徵空間中視覺化類別資料的聚集情況，應採用哪種技術？,SelectKBest,Isolation Forest,t-SNE,Label Encoding,3,t-SNE 是降維與視覺化利器，適用於非線性高維資料的群體關係展示，特別是類別分群。,
L13Q72,S,某 AI 團隊開發一套智慧醫療系統，欲確保模型服務可獨立更新而不影響資料處理與前端顯示功能。下列哪一項設計原則最關鍵？,模組化,可擴展性,高效能,一致性設計,1,模組化設計允許各模組（如模型服務、前端、資料處理）獨立更新與維護，降低相依性，提升維護效率。,
L13Q73,S,某電商平台建置 AI 推薦系統，要求在流量高峰期自動擴充模型服務資源。以下哪項技術組合最符合此需求？,Flask + SQLite,ONNX + Redis,TensorFlow Serving + Kubernetes HPA,FastAPI + Docker Compose,3,TensorFlow Serving 提供部署模型的穩定服務，Kubernetes HPA 可根據負載自動擴充 Pod，符合自動擴展需求。,
L13Q74,S,某機構導入 AI 模型服務，系統架構為：資料處理模組 → 模型推論服務 → 前端儀表板。若期望讓各模組間依賴最小，應採用哪種設計原則？,垂直擴展,鬆耦合,高密度運算,精準壓縮,2,鬆耦合設計讓各模組以最低依賴方式溝通（如 API、訊息佇列），即便某模組更新也不影響整體。,
L13Q75,S,某政府部門希望建立一個 AI 系統，用於災害預測並確保 24 小時不中斷服務，哪個架構設計原則應優先考慮？,模型壓縮,可視化設計,高可用性,快速開發,3,高可用性設計（如多區備援、負載平衡、健康檢查）確保 AI 系統在緊急狀況下也能穩定運行。,
L13Q76,S,在一套 AI 金融風控系統中，資料預處理與模型推論使用 Kafka 作為溝通橋樑，這樣的設計主要體現哪一原則？,可擴展性,鬆耦合,垂直整合,高效能計算,2,使用 Kafka 等訊息佇列進行模組間資料傳遞，可避免模組間直接依賴，實現鬆耦合設計。,
L13Q77,S,某企業將模型部署於多個地理位置的雲端服務區域（Multi-AZ），並搭配自動切換機制，此做法旨在強化：,模型效能,系統模組化,高可用性,垂直擴展能力,3,跨區域部署與自動切換可避免單點故障，確保服務不中斷，這是高可用性的實踐方式。,
