題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說
L13Q115,S,哪一個架構主要針對圖像生成任務，例如圖像風格轉換？,GAN,SVM,YOLO,LSTM,1,GAN 擅長影像創造與風格轉換任務。,
L13Q116,S,使用哪一個指標來衡量影像分割的準確度？,Accuracy,Dice Coefficient,Recall,Top-1 Error,2,Dice 指數比較預測與實際區塊的一致性。,
L13Q117,S,一家工廠想導入 AI 系統檢測產品表面的微小裂縫與瑕疵，請問最適合使用哪一種電腦視覺技術？,圖像分類,物件偵測,影像分割,姿勢估計,3,影像分割能針對像素級精度檢測細節，適合用於檢測微小裂縫等缺陷。,
L13Q118,S,某醫院使用 AI 模型協助醫師從 MRI 影像中標註腦瘤區域，該系統應具備下列哪項能力？,自然語言處理,人臉辨識,圖像分類,精確分割腫瘤區域,4,此情境需針對腦瘤進行像素級分割，屬於影像分割任務，常用模型為 U-Net。,
L13Q119,S,一家百貨公司想利用監視器分析顧客在賣場中停留區域與行走路徑，以最佳化陳列動線，最適合使用哪一種技術？,姿勢估計,人流偵測與追蹤,圖像分類,影像風格轉換,2,人流偵測與追蹤結合物件偵測與追蹤技術，可分析顧客行為與動線路徑。,
L13Q120,S,某城市智慧交通系統需要辨識號誌燈、行人與車輛，以輔助自動駕駛決策，請問下列哪種電腦視覺模型最適合這種任務？,YOLO,LSTM,GAN,PCA,1,YOLO 是即時物件偵測模型，能快速辨識多種物件，適合自駕車場景。,
L13Q121,S,你正在開發一個垃圾分類系統，需辨識圖像中屬於「可回收物」、「廚餘」或「一般垃圾」，你會選用下列哪一種電腦視覺任務作為第一步？,姿勢估計,圖像分類,GAN 影像生成,模型剪枝,2,該任務為多類別圖像分類任務，將每張圖分為一類，用 CNN 分類器即可達成。,
L13Q122,S,下列哪一項技術最常用於圖像的生成與合成？,LSTM,GAN（生成對抗網路）,RNN,BERT,2,GAN 是圖像生成領域代表技術,
L13Q123,S,生成式 AI 模型 GPT 屬於哪一類模型？,自編碼器,卷積神經網路,自回歸語言模型,判別式模型,3,GPT 屬於自回歸語言模型,
L13Q124,S,以下哪一個平台可以使用生成式 AI 協助繪製插畫？,Tableau,Power BI,Midjourney,Excel,3,Midjourney 是圖像生成平台,
L13Q125,S,在使用 ChatGPT 產生文章時，以下哪個問題最可能發生？,無法接收語音輸入,回答過短,幻覺（hallucination）現象,預測不準確,3,模型有時會產生虛構內容,
L13Q126,S,某企業導入生成式 AI 協助客戶服務，該技術最有可能應用在哪一個環節？,財務稽核,生產排程,客服自動回覆,倉儲設計,3,生成式 AI 可用於客服回應,
L13Q127,S,GAN 中的「生成器」與「判別器」之間的關係為何？,協作關係,無交集,對抗關係,隨機互動,3,兩者互相對抗以提升生成效果,
L13Q128,S,若你欲使用 AI 自動撰寫學習心得，哪一類模型最合適？,CNN,GAN,GPT,Autoencoder,3,GPT 擅長語言生成,
L13Q129,S,Stable Diffusion 模型是基於哪種生成技術？,強化學習,擴散模型,卷積神經網路,Transformer,2,Stable Diffusion 屬於擴散模型,
L13Q130,S,某位老師想用 AI 協助學生生成學習單範例，最適合的工具為？,Excel,ChatGPT,PowerPoint,MATLAB,2,ChatGPT 適合生成文字內容,
L13Q131,S,生成式 AI 模型若使用有偏見的訓練資料，可能導致哪種現象？,模型過擬合,結果不穩定,模型難以部署,產出結果具有偏見,4,資料偏見會反映在生成內容,
L13Q132,S,某學生使用 DALL·E 2 產出一張圖像，但圖像與輸入提示文字不符，可能的原因為？,計算資源不足,訓練資料過多,提示詞設計不佳,圖像格式錯誤,3,提示詞不精準會導致偏離,
L13Q133,S,在使用 Voice Cloning 技術時，下列哪一項是潛在風險？,音質過好,模擬人聲不準,侵犯個資與聲音肖像權,模型容量過大,3,語音合成可能侵犯隱私,
L13Q134,S,一家公司使用 AI 自動產出社群貼文，但貼文錯誤頻傳，最應該加強的措施是？,使用 GAN 模型,加快模型運行速度,增加人工審查機制,增加資料儲存空間,3,生成式 AI 內容需審查,
L13Q135,S,T5 模型的主要特點為何？,僅處理分類任務,將所有任務轉為文字到文字的格式,適合影像辨識,專為翻譯設計,2,T5 將任務統一成文字轉文字,
L13Q136,S,某教育平台整合生成式 AI 建立互動式教材，主要目的是什麼？,減少教師授課時間,強化資料安全,降低平台流量,提供個人化教學體驗,4,生成式 AI 可提供個別化內容,
L13Q137,S,以下哪一項策略最能減少 GPT 產生幻覺現象的風險？,增加訓練資料的數量,增加模型參數數量,使用 RAG 架構,使用強化學習懲罰,3,RAG 能提供即時查詢，降低幻覺,
L13Q138,S,Stable Diffusion 使用潛空間自編碼器的主要優勢為何？,提升判別器能力,減少記憶體與運算成本,加快反向傳播,提升生成寫實度,2,潛空間操作可節省資源,
L13Q139,S,以下哪種技術最適合從文本生成多模態虛擬人設計？,BERT + GAN,GPT + Autoencoder,VAE + CNN,Diffusion + Multimodal Transformer,4,多模態生成須整合多技術,
L13Q140,S,企業若希望用 AI 自動撰寫品牌說明文件，應採用？,強化學習從人類回饋（RLHF）微調,對抗性訓練,Autoencoder 儲存品牌,GAN 提升文句流暢度,1,RLHF 可使生成內容貼合品牌風格,
L13Q141,S,以下哪一項體現生成式 AI 應用中的倫理挑戰？,需高效能 GPU,圖像解析度不足,訓練耗能造成碳排放疑慮,準確率低,3,AI 訓練消耗能源，有環境倫理疑慮,
L13Q142,S,以下哪一項最能正確描述多模態人工智慧的核心概念？,使用多種 GPU 加速深度學習任務,在同一模型中處理不同種類的資料模態,讓模型專注於單一資料來源以提高效能,將資料壓縮為單一向量以簡化處理流程,2,多模態 AI 的核心是整合不同類型的資料模態，如文字、圖像、語音等，並在模型中同時處理。,
L13Q143,S,哪一種模型專為圖像與文字模態對齊而設計？,RNN,VisualBERT,ResNet,T5,2,VisualBERT 是將 BERT 模型延伸至多模態任務，專門處理圖像與文字對齊問題。,
L13Q144,S,CLIP 模型主要應用於哪一種任務？,語音識別,圖像與文字對應,自動駕駛路徑規劃,語法分析,2,CLIP 是透過對比學習訓練的模型，讓圖像與文字可在相同語意空間進行比對與檢索。,
L13Q145,S,以下哪一種不是多模態 AI 常見的應用場景？,智慧醫療診斷,語音轉文字系統（ASR）,視覺問答系統,圖像生成模型,2,ASR 雖與語音有關，但通常為單模態語音處理任務，不屬於多模態整合應用。,
L13Q146,S,在進行多模態特徵融合時，常用的技術包括下列哪一項？,Dropout,Normalization,Attention,Batch Sampling,3,Attention 機制能有效捕捉模態之間的重要性，有助於融合不同模態的資訊。,
L13Q147,S,多模態 AI 可支援的輸入資料型態不包含以下哪一項？,視覺影像,音訊訊號,金融交易記錄,生物感測數據,3,金融交易記錄通常作為結構化數據處理，與感官型態（視覺、聽覺）不同，不屬常見模態。,
L13Q148,S,某系統透過攝影機畫面與即時語音來分析客戶情緒，屬於下列何種應用？,單模態語音辨識,多模態人機互動,強化學習推薦系統,單一輸入特徵分析,2,系統同時使用視覺與語音輸入，進行情緒分析，即為多模態 AI。,
L13Q149,S,若某模態在訓練或推論階段缺失，稱之為？,模態漂移,模態缺失,模態轉換,模態同步,2,模態缺失是指資料中的部分模態在某些階段無法取得或有缺陷。,
L13Q150,S,GPT-4o 在多模態應用上的最大特點為何？,僅支援文本分析,具備時間序列預測能力,支援即時圖像、語音與文字整合互動,可建構多層感測器網路,3,GPT-4o 能整合語音、圖像與文字資料，支援自然對話，是其重要創新。,
L13Q151,S,若要將影像與文字進行語意比對，最佳技術組合為？,CNN + LSTM,CNN + RNN,CNN + Transformer,Transformer + RNN,3,CNN 擅長影像特徵抽取，Transformer 擅長語意理解與對齊，是典型圖文比對模型架構。,
L13Q152,S,下列哪種模型架構最常見於多模態影像與文本的共同編碼？,Dual Encoder,Encoder-Decoder,Seq2Seq,GAN,1,Dual Encoder 可分別對兩種模態進行特徵編碼後進行相似度比對，常見於 CLIP 等模型。,
L13Q153,S,哪一種應用最有可能運用 Cross-Modal Transformer 技術？,語音文字同步字幕,語法樹結構生成,影片內容摘要生成,時間序列資料清洗,3,影片摘要需整合視覺與語意資訊，Cross-Modal Transformer 可交互理解並生成摘要。,
L13Q154,S,使用 Attention 技術於多模態 AI 的主要目的為何？,增加模型參數量,平衡訓練速度,選擇性關注重要模態與特徵,修正特徵維度,3,Attention 可以針對重要的輸入資訊給予更高權重，提升融合效率與準確性。,
L13Q155,S,多模態 AI 最容易遇到的挑戰之一為何？,訓練資料過少,模態資訊不同步或不一致,程式語言版本不一致,資料過度結構化,2,不同模態間的時間、語意對齊難度高，是多模態應用中常見的技術瓶頸。,
L13Q156,S,以下何者不屬於多模態模型的常見輸入模態？,文本,語音,圖像,網頁標籤語法,4,網頁標籤語法非感官或語意模態，非多模態 AI 常見輸入。,
L13Q157,S,多模態系統中，若需將語音轉為文字，再配合圖像生成描述，需整合下列哪些模組？,ASR + CNN + RNN,ASR + Text Encoder + Image Decoder,Speech Decoder + CNN + LLM,GAN + VAE + RNN,2,ASR 先將語音轉文字，Text Encoder 理解語意，Image Decoder 根據語意生成圖片描述。,
L13Q158,S,某智慧城市應用結合交通攝影機影像與車輛 GPS 資料分析車流，此系統可能使用？,單模態資料流分析,模態缺失補償網路,異質多模態融合系統,無監督強化學習系統,3,此應用整合視覺模態（影像）與時空模態（GPS），屬異質多模態融合應用。,
L13Q159,S,為處理模態時間差異導致資訊錯位問題，應用何種技術最合適？,時間注意力對齊模組,多層感測器融合架構,過擬合抑制技術,模型剪枝策略,1,時間注意力（Temporal Attention）能有效處理時間軸不一致問題，對齊多模態訊息。,
L13Q160,S,在語音與手勢控制的互動系統中，為確保使用者意圖精確識別，應首重哪一設計？,擴充詞彙庫大小,模態間語意對齊與強化,降低影像解析度,增加語音速度,2,模態間（語音與動作）需有效對齊與融合，才能正確理解使用者意圖。,
L13Q161,S,以下哪項設計最能減輕多模態系統訓練資源過高的問題？,使用小樣本學習與參數共享機制,轉換所有模態為文字處理,模型每模態獨立訓練,使用高維特徵冗餘強化訓練,1,使用少量資料訓練，搭配參數共享可顯著減少訓練成本與資料需求。,
L13Q162,S,AI導入評估的首要步驟通常是什麼？,預估投資報酬率,培訓AI專業人員,確認業務需求與痛點,購買AI硬體設備,3,導入AI的第一步是識別組織中的實際問題與需求，作為後續評估基礎。,
L13Q163,S,在SMART原則中，「M」代表什麼？,Marketable,Measurable,Maintainable,Manageable,2,SMART代表Specific、Measurable、Achievable、Relevant、Time-bound。,
L13Q164,S,若企業尚未具備足夠AI人才，最適合的導入策略為？,直接開發自有模型,採用開源深度學習架構,先導入AI SaaS服務或API,暫停AI導入計畫,3,若缺乏技術人力，應先採用成熟工具降低進入門檻。,
L13Q165,S,哪一項不是AI導入評估時需盤點的資料特性？,資料數量,資料的開發語言,資料標註情況,資料品質,2,開發語言與資料無直接關係，資料本身的品質與可用性才是評估重點。,
L13Q166,S,若企業希望導入AI客服系統，應優先評估？,現場庫存狀況,員工離職率,客服對話資料是否足夠且可標註,顧客平均購買金額,3,客服AI需大量歷史對話資料以訓練語言模型。,
L13Q167,S,A公司想導入AI品檢系統，但影像資料模糊，建議？,直接訓練模型,先進行資料清洗與重拍,等半年再重新啟動專案,改採人工檢查,2,模型品質仰賴資料品質，需先確保輸入資料清晰可辨。,
L13Q168,S,下列哪項工具最常用於資料準備狀況的盤點？,SWOT分析,POC測試,Data Readiness Checklist,CRISP-DM,3,資料檢查表是最直接針對資料可用性所設計的工具。,
L13Q169,S,AI導入前進行POC測試的主要目的是？,降低資料儲存成本,確認AI在實務場景的可行性,簽訂AI合約,了解AI歷史發展,2,POC（概念驗證）是小規模測試AI應用效果的方式。,
L13Q170,S,A企業導入AI後發現模型預測偏差大，應優先處理？,增加行銷預算,更換硬體設備,檢查資料是否偏態或不足,解雇AI團隊,3,偏差大通常與訓練資料品質與代表性相關。,
L13Q171,S,以下哪項屬於AI導入評估時的技術成熟度判斷依據？,員工滿意度,技術是否有實際應用案例,廠房建築結構,產品設計顏色,2,評估技術是否成熟，需確認是否已有實績應用。,
L13Q172,S,以下哪一項不屬於AI導入評估的法規考量？,模型解釋性,資料保護法,智慧財產權,產品包裝設計,4,產品包裝不影響資料合法性與AI風險控制。,
L13Q173,S,使用SWOT分析可協助組織？,建模預測準確率,評估AI技術細節,瞭解AI導入的整體戰略環境,評估網路速度,3,SWOT分析提供宏觀的優劣勢與機會威脅分析。,
L13Q174,S,若使用者擔心AI判斷結果不透明，應考慮哪種模型？,黑箱模型,卷積神經網路,?策樹,GAN,3,決策樹為可解釋性高的透明模型，適合需說明預測過程的場景。,
L13Q175,S,以下哪種角色應優先參與AI導入的早期評估階段？,員工工會代表,資訊部主管與資料分析師,倉儲人員,外包商業務,2,AI導入初期需要資訊與資料專業角色的評估參與。,
L13Q176,S,某企業希望導入AI提升生產預測準確率，下列評估何者最關鍵？,是否能提高設備美觀度,是否能降低財報撰寫時間,是否有歷史產線資料與氣候、訂單資訊等變數,是否有業務簡報影片,3,預測模型需大量多變量歷史資料支撐。,
L13Q177,S,某公司使用AI辨識詐騙交易，但結果對特定族群誤判率較高，應採何種做法？,忽略少數族群影響,降低模型敏感度,檢查資料偏差與進行模型公平性調整,增加罰金降低錯誤風險,3,涉及偏誤風險的模型應進行公平性與資料平衡調整。,
L13Q178,S,AI導入專案中，ROI過低的主要原因可能為？,KPI設定過高,缺乏AI研究論文,忘記導入GPU,未使用雲端備份,1,不切實際的目標設定會造成成效與期待落差，影響ROI。,
L13Q179,S,某AI模型在POC表現良好，正式導入後卻失準，原因可能為？,運氣不好,模型程式碼過短,正式環境與POC資料落差過大,使用者太熟悉模型運作,3,POC若使用的是理想化資料，與實際部署資料差距大，易導致模型失效。,
L13Q180,S,導入AI預測系統後，發現結果精準但業務無法理解，應採？,使用可視化介面與說明性模型協助理解,降低預測精準度,限制業務使用AI結果,直接替換業務人員,1,模型透明性與可解釋性對使用者接受度至關重要。,
L13Q181,S,若一家公司考量AI導入的資料與技術都已準備就緒，但管理階層仍猶豫不決，可能的評估缺口是？,成本過高,缺乏合規與倫理風險分析,無法定義業務流程,技術可行性不足,2,即使技術與資料已齊備，若法規與風險評估不清，管理層可能會擔心風險。,
L13Q182,S,某公司打算導入AI客服系統，但未釐清實際使用者痛點與現有流程瓶頸。此時最應優先執行哪一項規劃動作？,導入雲端API實作原型,評估模型預測準確度,明確界定業務問題與目標,建立回訓與監控機制,3,導入前若業務痛點不明，即便模型精準也無實質價值。規劃初期須優先明確業務需求與目標。,
L13Q183,S,下列何者最適合用來評估AI導入後是否達成業務效益？,模型參數量,KPI指標達成率,演算法種類,資料維度數量,2,AI導入的成效應對應實際商業KPI，而非純技術指標。,
L13Q184,S,AI導入計畫中的「POC（Proof of Concept）」主要目的為何？,降低資料清理成本,驗證AI技術在特定情境中的可行性,自動部署模型至生產端,建立雲端部署架構,2,POC為試點實驗，驗證特定AI應用在業務場景中是否可落地。,
L13Q185,S,AI導入時，若選擇“漸進式擴展”策略，其主要優點為何？,可一次部署至整體組織,降低初期導入風險與失敗成本,加快模型訓練速度,增加資料標註效率,2,漸進式可從小規模場域逐步擴展，降低風險與學習成本。,
L13Q186,S,一家金融業者希望導入AI辨識詐騙電話，預計提升阻詐成功率30%。若現有資料標註品質不穩定，最應先處理哪一項？,建立標註標準並清洗歷史資料,建立預測模型原型,建立API串接前端,評估資安風險,1,資料品質是模型效能的基礎，導入前必須先提升資料正確性與一致性。,
L13Q187,S,下列何者非AI導入規劃階段的主要工作？,業務需求分析,模型參數最佳化,成本效益評估,資源能力盤點,2,參數調整屬於模型開發階段，導入規劃階段仍著重於整體規劃。,
L13Q188,S,某企業內部資料分散、格式不一，導致AI開發效率低落。最適合的解決策略是？,導入AutoML平台,直接與外部顧問合作訓練模型,建立統一資料標準與清洗流程,減少資料欄位以簡化處理,3,資料治理是AI導入重要基礎，需先處理結構與一致性問題。,
L13Q189,S,某製造公司導入AI影像檢測系統，導入後準確率達98%，但實際品管誤判仍多。可能原因為？,模型計算資源不足,模型訓練資料未涵蓋足夠缺陷樣態,沒有使用深度學習演算法,API 串接異常,2,資料不具代表性將影響模型泛化能力，實務誤判源自訓練樣本涵蓋不足。,
L13Q190,S,哪一項為導入AI後需持續維運的重要項目？,軟體採購合同,模型監控與回訓機制,硬體折舊管理,員工考核制度,2,模型部署後需定期監控與更新，確保效能穩定。,
L13Q191,S,「資料敏感性」的考量，應該納入AI導入規劃的哪一階段？,初期風險評估,模型驗證,前端部署,KPI回收分析,1,個資與敏感資料問題屬於風險管控，應在初期評估中處理。,
L13Q192,S,某企業希望導入AI來進行銷售預測，但管理層未完全理解AI技術限制，導致過度期待。以下何者最能改善此情況？,調整技術人員工作時程,採用第三方平台外包,建立AI教育與溝通機制，讓管理層理解技術特性,暫停AI導入計畫並改為資料倉儲專案,3,AI導入成功關鍵之一是組織內部對技術的正確認知與合理期待。,
L13Q193,S,下列何者最不屬於AI導入規劃的KPI類型？,預測模型精度提升10%,員工薪資滿意度提高,預估節省人力工時20%,每日客服平均處理時間下降,2,KPI應與AI系統的效益直接相關，與AI無直接關聯的指標不應納入評估。,
L13Q194,S,「特定AI應用是否具商業可行性」通常需納入哪一評估構面？,模型可調參數數量,成本效益與預期價值評估,資料格式一致性,是否使用深度學習模型,2,商業可行性指的是成本支出是否值得，應著重經濟效益分析。,
L13Q195,S,下列哪一種AI導入策略最適合初次導入AI的小型企業？,雲端API快速接入,自建大型AI模型訓練平台,建立內部AI研發部門,開放資料自主開發演算法,1,雲端API可降低技術門檻與成本，小企業初期不適合自行開發大型模型。,
L13Q196,S,某餐飲連鎖業導入顧客預測系統，選擇以「每日進店客數誤差 < 10%」為KPI。這屬於哪類指標？,成本型KPI,效能型KPI,滿意度型KPI,違規率KPI,2,此KPI衡量預測準確性，屬效能類指標。,
L13Q197,S,導入AI時進行「技術選型」，不宜只考慮哪一項？,模型精度與表現,組織人員的技術熟悉度,演算法在國外的競賽得分,模型部署與維運便利性,3,真實導入情境下應著重可落地性與組織內部能力，競賽成績並不代表實務適配性。,
L13Q198,S,哪一項能有效支持AI導入後的持續運作與成效追蹤？,完整的SOP手冊,模型監控與回訓制度,前端介面美觀度,預算撥款完成報告,2,模型部署後會因資料分布改變而效能下降，因此需監控與定期回訓。,
L13Q199,S,企業導入AI後成效不如預期，分析發現業務流程未因AI導入進行調整。此問題最接近下列哪項？,技術選型錯誤,導入流程未整合業務邏輯,硬體不符模型效能要求,KPI設定過高,2,AI導入後若無同步調整業務流程，將無法發揮效益。,
L13Q200,S,若要預估AI導入後的ROI，不應納入下列哪一項？,初期建置費用,維運與人力成本,員工年終獎金預估,對應業務提升產值,3,年終獎金與AI效益無直接對應，不宜列入ROI計算中。,
L13Q201,S,AI導入規劃時，哪一項是確保AI落地實用性的重要做法？,僅由IT部門全權主導,業務部門與AI團隊共同參與規劃與設計,模型複雜度越高越好,導入後即關閉手動作業通道,2,AI落地關鍵在於跨部門合作，理解實際業務需求與流程。,
L13Q202,S,為了避免 AI 模型在決策中造成歧視，開發團隊應優先考慮哪一項？,提高模型運算速度,增加使用者體驗,進行模型公平性測試,模型壓縮與優化,3,公平性測試是預防演算法偏見的重要方法，特別是在 HR、金融等高風險應用中。,
L13Q203,S,GDPR 中關於「自動決策系統」的規定，以下何者正確？,完全允許無人干預的 AI 決策,使用者有權要求解釋 AI 決策過程,GDPR 不適用於 AI 系統,AI 決策毋需考量個資保護,2,GDPR 第 22 條強調個體有權利不受完全自動化決策約束，並有解釋權。,
L13Q204,S,某公司部署 AI 模型後，發現資料遭竊，原因可能與哪類風險最相關？,技術風險,法律風險,安全風險,倫理風險,3,資料外洩屬於安全風險，可能因資料加密不當或系統被入侵。,
L13Q205,S,「AI 模型做出的預測難以被解釋」是下列哪一種風險？,模型偏差,黑箱效應,可擴展性問題,訓練資料不足,2,黑箱效應指模型無法被解釋，會影響責任歸屬與監管合規。,
L13Q206,S,關於「負責任 AI」的說明，下列何者錯誤？,應考慮系統全生命週期的風險,只要部署階段處理風險即可,應包含設計、開發、測試、維運等階段,強調人機共融與倫理原則,2,負責任 AI 是全流程導向，非僅部署階段。,
L13Q207,S,某 AI 模型在徵才過程中無意間排除女性，原因可能是？,訓練資料代表性不足,系統記憶體不足,模型參數設定錯誤,使用者介面設計不良,1,資料偏差造成模型學習歧視，是常見公平性風險。,
L13Q208,S,負責任 AI 所強調的「問責性」指的是什麼？,模型必須開源,使用者必須簽署風險同意書,系統錯誤應有人負責,決策過程必須全自動,3,問責性要求 AI 出錯時可追責，不能將責任完全交給系統。,
L13Q209,S,為什麼 Explainable AI（XAI） 是目前 AI 風險管理的重要趨勢？,增加訓練速度,提升模型公平性與透明度,減少硬體需求,改善網頁呈現效果,2,XAI 協助解釋模型決策，有助於審查、公平性與合規。,
L13Q210,S,歐盟 AI 法規草案中，以下哪類屬「高風險 AI 系統」？,輔助繪圖應用,娛樂型語音助理,信用評分模型,翻譯小工具,3,如影響個人權益的 AI 系統（如金融、醫療、徵才）皆屬高風險。,
L13Q211,S,在負責任 AI 中，若要確保「人本導向」，最應避免哪種作法？,設置人機協作流程,完全依賴自動決策系統,模型加入風險解釋機制,提供人工覆核機制,2,人本導向強調人保有主導權，不能完全讓 AI 自動處理關鍵決策。,
L13Q212,S,企業部署 AI 系統進行信用審核，出現不合理拒件，最應檢查哪個部分？,模型參數精度,系統反應速度,模型解釋性與偏誤,UI 介面設計,3,此情況可能涉及黑箱效應或偏誤，應優先檢查可解釋性與資料公平性。,
L13Q213,S,哪一項不是 AI 風險評估中的重點？,潛在影響範圍,資安監控頻率,利害關係人識別,資料可用性與完整性,2,資安監控屬於後期操作層面，不是風險評估的核心構面。,
L13Q214,S,哪一項最能強化 AI 系統在部署階段的倫理風險控制？,模型壓縮,實施倫理審查流程,增加訓練資料量,強化 GPU 效能,2,部署前應由倫理委員會或審查機制評估風險與使用正當性。,
